person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,monthly_payment_est,income_per_year_of_emp,interest_income_ratio,credit_exp_ratio,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
21,14400.0,5.0,2,1000,11.14,0,0.1,0,2,83.33333333333333,2400.0,0.0007735573918477884,0.09523809523809523,0,1,0,1,0,0,0,0
25,14400.0,1.0,3,5500,12.87,1,0.57,0,3,458.3333333333333,7200.0,0.0008936879383376154,0.12,0,0,0,0,0,1,0,0
23,65500.0,4.0,3,35000,15.23,1,0.53,0,2,2916.6666666666665,13100.0,0.000232515534113983,0.08695652173913043,0,0,1,0,0,1,0,0
24,54400.0,8.0,3,35000,14.27,1,0.55,1,4,2916.6666666666665,6044.444444444444,0.000262311354570688,0.16666666666666666,0,0,1,0,0,1,0,0
21,14400.0,2.0,1,2500,7.14,1,0.25,0,2,208.33333333333334,4800.0,0.0004957989028539684,0.09523809523809523,0,1,0,0,0,0,0,1
26,77100.0,8.0,2,35000,12.42,1,0.45,0,3,2916.6666666666665,8566.666666666666,0.00016108740483262215,0.11538461538461539,0,0,1,1,0,0,0,0
24,78956.0,5.0,2,35000,11.11,1,0.44,0,4,2916.6666666666665,13159.333333333334,0.00014070950010765352,0.16666666666666666,0,0,1,0,0,1,0,0
24,83000.0,8.0,1,35000,8.9,1,0.42,0,2,2916.6666666666665,9222.222222222223,0.00010722762376356911,0.08333333333333333,0,0,1,0,0,0,1,0
21,14400.0,6.0,4,1600,14.74,1,0.16,0,3,133.33333333333334,2057.1428571428573,0.0010235400319422263,0.14285714285714285,0,1,0,0,0,0,0,1
22,85000.0,6.0,2,35000,10.37,1,0.41,0,4,2916.6666666666665,12142.857142857143,0.00012199856472276796,0.18181818181818182,0,0,1,0,0,0,0,1
21,14400.0,2.0,1,4500,8.63,1,0.45,0,2,375.0,4800.0,0.0005992639400041665,0.09523809523809523,0,1,0,0,1,0,0,0
23,95000.0,2.0,1,35000,7.9,1,0.37,0,2,2916.6666666666665,31666.666666666668,8.315701939979579e-05,0.08695652173913043,0,0,1,0,0,0,0,1
26,108160.0,4.0,5,35000,18.39,1,0.32,0,4,2916.6666666666665,21632.0,0.00017002431560359096,0.15384615384615385,0,0,1,1,0,0,0,0
23,115000.0,2.0,1,35000,7.9,0,0.3,0,4,2916.6666666666665,38333.333333333336,6.869505482561022e-05,0.17391304347826086,0,0,1,1,0,0,0,0
23,225000.0,7.0,2,30000,10.65,0,0.06,0,3,2500.0,28125.0,4.733312296389794e-05,0.13043478260869565,0,0,0,0,0,0,0,0
23,120000.0,0.0,1,35000,7.9,0,0.29,0,4,2916.6666666666665,120000.0,6.583278472679395e-05,0.17391304347826086,0,0,1,1,0,0,0,0
23,92111.0,7.0,6,35000,20.25,1,0.32,0,4,2916.6666666666665,11513.875,0.0002198410630536738,0.17391304347826086,0,0,1,0,0,1,0,0
23,113000.0,8.0,4,35000,18.25,1,0.31,0,4,2916.6666666666665,12555.555555555555,0.00016150299554871196,0.17391304347826086,0,0,1,0,0,0,0,0
24,14400.0,8.0,2,1750,10.99,1,0.16,0,2,145.83333333333334,1600.0,0.0007631414485105201,0.08333333333333333,0,0,0,1,0,0,0,0
25,162500.0,2.0,1,35000,7.49,0,0.22,0,4,2916.6666666666665,54166.666666666664,4.609202404908278e-05,0.16,0,0,1,0,0,0,0,1
25,137000.0,9.0,5,34800,16.77,0,0.25,1,2,2900.0,13700.0,0.00012240786563601726,0.08,0,0,1,0,0,0,1,0
22,65000.0,4.0,4,34000,17.58,1,0.52,0,4,2833.3333333333335,13000.0,0.0002704573775788065,0.18181818181818182,0,0,1,1,0,0,0,0
24,14400.0,0.0,1,1500,7.29,0,0.14,0,3,125.0,14400.0,0.0005062148461912367,0.125,0,1,0,0,0,0,1,0
22,80000.0,3.0,4,33950,14.54,1,0.42,1,4,2829.1666666666665,20000.0,0.00018174772815339807,0.18181818181818182,0,0,1,0,0,0,1,0
24,67746.0,8.0,3,33000,12.68,1,0.49,0,3,2750.0,7527.333333333333,0.00018716695942255746,0.125,0,0,1,0,1,0,0,0
21,14400.0,3.0,5,4575,17.74,1,0.42,1,3,381.25,3600.0,0.001231858898687591,0.14285714285714285,0,0,0,0,0,0,0,1
23,14400.0,0.0,1,1400,9.32,0,0.13,0,3,116.66666666666667,14400.0,0.0006471772793556004,0.13043478260869565,0,1,0,0,0,0,1,0
24,65000.0,6.0,2,32500,9.99,1,0.5,0,3,2708.3333333333335,9285.714285714286,0.0001536899432316426,0.125,0,0,1,0,1,0,0,0
21,14400.0,5.0,3,4000,12.84,1,0.35,1,2,333.3333333333333,2400.0,0.0008916047496701618,0.09523809523809523,1,0,0,1,0,0,0,0
21,14400.0,5.0,2,2000,11.12,1,0.17,0,3,166.66666666666666,2400.0,0.0007721685994028192,0.14285714285714285,0,1,0,0,0,1,0,0
25,120000.0,2.0,1,32000,6.62,0,0.27,0,2,2666.6666666666665,40000.0,5.516620694827543e-05,0.08,0,0,1,0,0,0,0,1
26,95000.0,7.0,3,31050,14.17,1,0.33,1,3,2587.5,11875.0,0.00014915632467026662,0.11538461538461539,0,0,1,0,1,0,0,0
25,225000.0,2.0,3,24250,13.85,0,0.08,0,3,2020.8333333333333,75000.0,6.155528197652454e-05,0.12,0,0,1,0,0,0,0,0
26,225000.0,10.0,3,7800,13.49,0,0.03,0,4,650.0,20454.545454545456,5.995528908760406e-05,0.15384615384615385,0,0,0,0,0,1,0,0
21,14400.0,5.0,1,2500,7.51,1,0.21,0,4,208.33333333333334,2400.0,0.0005214915630858968,0.19047619047619047,0,1,0,1,0,0,0,0
22,48000.0,1.0,5,30000,18.39,1,0.63,0,2,2500.0,24000.0,0.00038311701839545013,0.09090909090909091,0,0,1,1,0,0,0,0
24,64000.0,8.0,4,30000,14.54,1,0.47,1,3,2500.0,7111.111111111111,0.0002271839502507773,0.125,0,0,1,0,0,0,0,0
25,75000.0,4.0,4,30000,16.89,1,0.4,1,4,2500.0,15000.0,0.00022519699737336837,0.16,0,0,1,0,1,0,0,0
23,71500.0,3.0,4,30000,10.99,1,0.42,0,4,2500.0,17875.0,0.00015370414399798604,0.17391304347826086,0,0,1,0,0,0,0,0
26,62050.0,6.0,5,30000,17.99,1,0.41,0,2,2500.0,8864.285714285714,0.00028992280543423956,0.07692307692307693,0,0,1,0,0,1,0,0
24,14400.0,4.0,2,2500,12.69,1,0.21,0,3,208.33333333333334,2880.0,0.0008811888063328936,0.125,0,1,0,0,0,0,0,1
26,225000.0,10.0,1,20000,7.88,0,0.07,0,4,1666.6666666666667,20454.545454545456,3.502206656859303e-05,0.15384615384615385,0,0,0,0,0,0,0,1
23,225000.0,1.0,6,24250,19.41,0,0.08,1,2,2020.8333333333333,112500.0,8.626628326096329e-05,0.08695652173913043,0,1,0,1,0,0,0,0
26,225000.0,9.0,2,10000,10.38,0,0.03,0,4,833.3333333333334,22500.0,4.613312829720757e-05,0.15384615384615385,0,1,0,0,1,0,0,0
26,225000.0,0.0,4,25000,15.33,0,0.08,0,3,2083.3333333333335,225000.0,6.813303051986435e-05,0.11538461538461539,0,0,0,1,0,0,0,0
25,225000.0,9.0,5,18000,16.45,0,0.06,0,3,1500.0,22500.0,7.311078617428367e-05,0.12,0,0,0,0,1,0,0,0
26,80690.0,8.0,1,30000,7.49,1,0.37,0,3,2500.0,8965.555555555555,9.282323927079848e-05,0.11538461538461539,0,0,1,0,0,0,1,0
22,66300.0,4.0,2,30000,12.69,1,0.38,0,3,2500.0,13260.0,0.00019139982805689205,0.13636363636363635,0,0,1,0,0,1,0,0
26,89028.0,0.0,1,30000,6.62,1,0.34,0,3,2500.0,89028.0,7.435779352795157e-05,0.11538461538461539,0,0,1,0,0,0,0,0
24,78000.0,4.0,4,30000,10.99,1,0.38,1,4,2500.0,15600.0,0.00014089562954321098,0.16666666666666666,0,0,1,0,0,0,0,0
23,78000.0,7.0,6,30000,18.62,1,0.38,1,3,2500.0,9750.0,0.00023871488827066322,0.13043478260869565,0,0,1,0,0,0,0,0
