late_payments_90d,credit_history_years,oldest_account_age,open_credit_accounts,hard_inquiries_last_6m,debt_to_income,loan_to_income,delinquencies_last_12m,delinquency_ratio,utilization_to_income,default
1,2,19,3,5,0.5138269818548284,0.1901991350431346,2,0.6666666666666666,5.50244800940227e-06,1
0,5,5,5,4,1.609723672336523,0.6616291387911475,1,0.2,2.438771541078116e-05,0
1,18,18,9,5,0.12883450952921585,0.13705087650529785,0,0.0,1.2739439380535354e-05,1
0,18,22,6,1,0.28218365473061235,0.44561984813159156,0,0.0,6.05377811934301e-06,0
1,18,18,8,3,0.3320900770572464,0.25328177126068874,1,0.125,9.238262491626486e-06,0
2,15,2,9,5,0.6228706876153794,1.1848710828057134,0,0.0,2.4329071454209432e-05,1
0,8,8,10,4,1.4740414547718907,1.0617582873853035,1,0.1,3.31063074650495e-05,1
0,14,23,6,0,0.4817263295607791,0.16481596733413326,1,0.16666666666666666,1.4185691985281414e-05,0
3,3,13,6,0,0.3555052565535971,0.17228381821158797,0,0.0,2.726313221793894e-06,0
1,15,12,11,0,0.7538092086607101,1.4138228045017678,2,0.18181818181818182,9.88125059519636e-06,0
0,3,22,6,5,0.3266684143134917,0.4668148574405761,0,0.0,8.439388908289573e-06,0
1,14,19,2,1,0.22221188766666866,0.2656224429880191,1,0.5,2.0791340471133733e-06,0
3,6,16,6,5,0.25826357484227036,0.39153639468002377,2,0.3333333333333333,2.3692660163554738e-06,1
1,10,7,4,2,0.28747383272829335,0.3116616875827239,2,0.5,2.272215146263089e-05,1
0,9,3,6,1,0.5266561661669557,0.3611286206969137,1,0.16666666666666666,9.723234218742862e-06,0
0,11,5,8,4,0.21940565098493867,0.4206707335218993,3,0.375,5.634500898936723e-06,1
0,8,18,2,5,0.2036484371566979,0.5276977945190605,1,0.5,2.3150264550455406e-07,0
1,10,9,6,3,0.09447911607955482,0.2709179945162298,0,0.0,8.597475927860655e-06,0
1,19,21,8,2,0.33950012685618497,0.29121351529496037,2,0.25,1.2403989612634575e-06,0
0,18,9,11,3,0.495726113525747,0.3762991682470798,0,0.0,3.014165786778538e-06,0
3,5,8,10,5,0.30100918131964466,0.937417901775574,0,0.0,1.4294918785824248e-05,1
1,13,5,9,0,0.397261364996782,0.6497907372055665,0,0.0,1.0784968124878022e-05,0
0,2,13,11,1,0.24322996927237192,0.07458182691314563,2,0.18181818181818182,8.162474839117102e-06,0
0,12,19,2,2,0.1611030297608755,0.32963204518050687,4,2.0,1.3292570954282224e-05,1
0,9,2,7,0,0.41861195606572527,0.2166144843669078,2,0.2857142857142857,1.3789668697947389e-06,0
0,17,16,6,2,0.5571958972920447,0.4769288664443471,3,0.5,3.515381583165225e-07,0
0,5,22,4,3,0.32601509319289923,0.5328586329959347,2,0.5,1.0481043609412966e-05,0
1,18,19,6,2,0.7488339829352832,0.647628769312812,1,0.16666666666666666,1.7847641453796526e-05,0
0,18,14,9,4,0.2820151653551953,0.3112757400245492,0,0.0,1.5760160419849217e-05,0
0,9,22,5,3,0.4428927073035116,0.45081592037946966,0,0.0,4.924246970038011e-07,0
0,19,13,10,1,0.3297616529512147,0.2333583490687637,0,0.0,8.412100205635717e-06,0
1,7,18,9,5,0.2858382105155165,0.12336902146330149,1,0.1111111111111111,1.035710785813922e-05,1
2,8,10,3,2,0.28352446041898083,0.3553421303740047,1,0.3333333333333333,8.024599375563779e-06,1
0,14,12,6,5,0.7419465100960998,0.4835352104934173,3,0.5,5.88836572044934e-06,1
0,14,17,6,3,0.3579407750607558,0.225628773204549,3,0.5,1.2376601619473103e-05,1
2,1,11,7,4,0.20491466638342729,0.027009713098315416,0,0.0,1.3504856549157707e-05,1
1,13,8,10,2,0.15494353987361828,0.3329891554419837,1,0.1,8.687290766900334e-06,0
0,11,5,6,1,0.5058317720176788,0.340049087129709,2,0.3333333333333333,1.2862346921194593e-05,0
0,4,23,5,5,0.2765289038905082,0.37470648506040855,2,0.4,6.98839900437994e-06,1
2,5,22,10,5,0.17109448229988275,0.6204051772519538,1,0.1,1.9919772432168677e-05,1
2,13,4,3,5,0.39600224919835525,0.35287871917617536,2,0.6666666666666666,9.992027957893362e-06,1
1,4,5,11,2,0.17275352517020337,0.3351819374534018,0,0.0,7.517101719863601e-06,0
3,3,21,7,4,0.5684069776414076,1.1134939564326083,1,0.14285714285714285,2.6984991486383102e-05,1
0,2,14,6,3,0.4978369955112949,0.38657707194348556,0,0.0,4.9941160193359154e-06,0
2,6,17,9,2,0.20144234147810866,0.27278993591149614,0,0.0,4.07470395136203e-06,0
0,7,13,2,5,0.3083008224494804,0.1548790664280403,3,1.5,9.209553467442778e-06,1
2,8,16,7,5,0.49370939709716144,0.45420909889238287,3,0.42857142857142855,1.2157017692156896e-06,1
0,14,23,5,0,0.2617027652207451,0.13427385545188916,3,0.6,2.6582480405979477e-05,0
2,9,22,4,3,0.3583224830276057,0.32486300596560425,0,0.0,9.788433165441355e-06,1
0,7,9,8,1,0.4050809439566072,0.2023620520982288,1,0.125,5.471676892918292e-06,0
